x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,year,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,yearbook_table_id,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_trans,quantity,concat_table_notes_text,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
-49.028009999999995,-12.408957,Production,"magnesium metal, primary",,Estimates.,Brazil,,A,BR,Magnesium,Normal value,BRA,"Magnesium, primary metal",tonnes (metric),2006-01-01 00:00:00,-49.028010,,,163,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,5000,,923,5000,*
79.282538,22.642556,Production,"magnesium metal, primary",,Estimates.,India,,A,IN,Magnesium,Normal value,IND,"Magnesium, primary metal",tonnes (metric),2006-01-01 00:00:00,79.282538,,,163,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,200,,923,200,*
34.658280999999995,30.719482,Production,"magnesium metal, primary",,,Israel,,A,IL,Magnesium,Normal value,ISR,"Magnesium, primary metal",tonnes (metric),2006-01-01 00:00:00,34.658281,,,163,30.719482,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,24581,,923,24581,
31.971487999999997,49.685680999999995,Production,"magnesium metal, primary",,,Ukraine,,A,UA,Magnesium,Normal value,UKR,"Magnesium, primary metal",tonnes (metric),2006-01-01 00:00:00,31.971488,,,163,49.685681,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,2000,,923,2000,
109.537431,32.216659,Production,"magnesium metal, primary",,,China,,A,CN,Magnesium,Normal value,CHN,"Magnesium, primary metal",tonnes (metric),2006-01-01 00:00:00,109.537431,,,163,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,525600,,923,525600,
-119.677633,59.205383999999995,Production,"magnesium metal, primary",,Estimates.,Canada,,A,CA,Magnesium,Normal value,CAN,"Magnesium, primary metal",tonnes (metric),2006-01-01 00:00:00,-119.677633,,,163,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,45000,,923,45000,*
69.217179,48.473662,Production,"magnesium metal, primary",,Not marketed as metal but used in titanium production.,Kazakhstan,,A,KZ,Magnesium,Normal value,KAZ,"Magnesium, primary metal",tonnes (metric),2006-01-01 00:00:00,69.217179,,,163,48.473662,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,21000,,923,21000,b
94.13658799999999,63.462201,Production,"magnesium metal, primary",,,Russia,,A,RU,Magnesium,Normal value,RUS,"Magnesium, primary metal",tonnes (metric),2006-01-01 00:00:00,94.136588,,,163,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,20253,,923,20253,
109.537431,32.216659,Production,"magnesium metal, primary",,,China,,A,CN,Magnesium,Normal value,CHN,"Magnesium, primary metal",tonnes (metric),2007-01-01 00:00:00,109.537431,,,163,32.216659,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,659300,,923,659300,
-119.677633,59.205383999999995,Production,"magnesium metal, primary",,Estimates.,Canada,,A,CA,Magnesium,Normal value,CAN,"Magnesium, primary metal",tonnes (metric),2007-01-01 00:00:00,-119.677633,,,163,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,8000,,923,8000,*
69.217179,48.473662,Production,"magnesium metal, primary",,Estimates.|Not marketed as metal but used in titanium production.,Kazakhstan,,A,KZ,Magnesium,Normal value,KAZ,"Magnesium, primary metal",tonnes (metric),2007-01-01 00:00:00,69.217179,,,163,48.473662,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,21000,,923,21000,*|b
31.971487999999997,49.685680999999995,Production,"magnesium metal, primary",,,Ukraine,,A,UA,Magnesium,Normal value,UKR,"Magnesium, primary metal",tonnes (metric),2007-01-01 00:00:00,31.971488,,,163,49.685681,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,2000,,923,2000,
94.13658799999999,63.462201,Production,"magnesium metal, primary",,,Russia,,A,RU,Magnesium,Normal value,RUS,"Magnesium, primary metal",tonnes (metric),2007-01-01 00:00:00,94.136588,,,163,63.462201,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,17709,,923,17709,
34.658280999999995,30.719482,Production,"magnesium metal, primary",,,Israel,,A,IL,Magnesium,Normal value,ISR,"Magnesium, primary metal",tonnes (metric),2007-01-01 00:00:00,34.658281,,,163,30.719482,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,29168,,923,29168,
-49.028009999999995,-12.408957,Production,"magnesium metal, primary",,Estimates.,Brazil,,A,BR,Magnesium,Normal value,BRA,"Magnesium, primary metal",tonnes (metric),2007-01-01 00:00:00,-49.028010,,,163,-12.408957,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,5000,,923,5000,*
-97.834383,39.139831,Production,"magnesium metal, primary",,Estimates.,USA,,A,US,Magnesium,Normal value,USA,"Magnesium, primary metal",tonnes (metric),2007-01-01 00:00:00,-97.834383,,,163,39.139831,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,40000,,923,40000,*
79.282538,22.642556,Production,"magnesium metal, primary",,Estimates.,India,,A,IN,Magnesium,Normal value,IND,"Magnesium, primary metal",tonnes (metric),2007-01-01 00:00:00,79.282538,,,163,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,200,,923,200,*
79.282538,22.642556,Production,"magnesium metal, primary",,Estimates.,India,,A,IN,Magnesium,Normal value,IND,"Magnesium, primary metal",tonnes (metric),2008-01-01 00:00:00,79.282538,,,163,22.642556,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,200,,923,200,*
69.217179,48.473662,Production,"magnesium metal, primary",,Estimates.|Not marketed as metal but used in titanium production.,Kazakhstan,,A,KZ,Magnesium,Normal value,KAZ,"Magnesium, primary metal",tonnes (metric),2008-01-01 00:00:00,69.217179,,,163,48.473662,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,21000,,923,21000,*|b
34.658280999999995,30.719482,Production,"magnesium metal, primary",,,Israel,,A,IL,Magnesium,Normal value,ISR,"Magnesium, primary metal",tonnes (metric),2008-01-01 00:00:00,34.658281,,,163,30.719482,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,Production of primary magnesium metal,32051,,923,32051,
