x,y,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,year,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation
14.130671999999999,47.585656,AUT,Graphite,tonnes (metric),14.130672,,,1975-01-01 00:00:00,47.585656,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,30586,,Production of graphite,652,30586,a,Production,graphite,,Crude.,Austria,,A,AT,Graphite,Normal value
82.51,55.51,SUN,Graphite,tonnes (metric),82.510000,,,1975-01-01 00:00:00,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,90000,,Production of graphite,652,90000,*,Production,graphite,,Estimates.,Soviet Union,,A,SU,Graphite,Normal value
-64.247496,-31.841561,ARG,Graphite,tonnes (metric),-64.247496,,,1975-01-01 00:00:00,-31.841561,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,15,,Production of graphite,652,15,,Production,graphite,,,Argentina,,A,AR,Graphite,Normal value
80.793549,7.020493,LKA,Graphite,tonnes (metric),80.793549,,,1975-01-01 00:00:00,7.020493,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,7918,,Production of graphite,652,7918,,Production,graphite,,,Sri Lanka,,A,LK,Graphite,Normal value
-101.933344,23.629557,MEX,Graphite,tonnes (metric),-101.933344,,,1975-01-01 00:00:00,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,60814,,Production of graphite,652,60814,,Production,graphite,,,Mexico,,A,MX,Graphite,Normal value
24.972941,45.853463999999995,ROU,Graphite,tonnes (metric),24.972941,,,1975-01-01 00:00:00,45.853464,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,6000,,Production of graphite,652,6000,*,Production,graphite,,Estimates.,Romania,,A,RO,Graphite,Normal value
10.262436,61.687073999999996,NOR,Graphite,tonnes (metric),10.262436,,,1975-01-01 00:00:00,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,8925,,Production of graphite,652,8925,,Production,graphite,,,Norway,,A,NO,Graphite,Normal value
100.982474,15.485660999999999,THA,Graphite,tonnes (metric),100.982474,,,1976-01-01 00:00:00,15.485661,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,30,,Production of graphite,652,30,,Production,graphite,,,Thailand,,A,TH,Graphite,Normal value
-64.247496,-31.841561,ARG,Graphite,tonnes (metric),-64.247496,,,1976-01-01 00:00:00,-31.841561,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,145,,Production of graphite,652,145,,Production,graphite,,,Argentina,,A,AR,Graphite,Normal value
82.51,55.51,SUN,Graphite,tonnes (metric),82.510000,,,1976-01-01 00:00:00,55.510000,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,95000,,Production of graphite,652,95000,*,Production,graphite,,Estimates.,Soviet Union,,A,SU,Graphite,Normal value
-101.933344,23.629557,MEX,Graphite,tonnes (metric),-101.933344,,,1976-01-01 00:00:00,23.629557,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,60337,,Production of graphite,652,60337,,Production,graphite,,,Mexico,,A,MX,Graphite,Normal value
24.972941,45.853463999999995,ROU,Graphite,tonnes (metric),24.972941,,,1976-01-01 00:00:00,45.853464,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,6000,,Production of graphite,652,6000,*,Production,graphite,,Estimates.,Romania,,A,RO,Graphite,Normal value
10.262436,61.687073999999996,NOR,Graphite,tonnes (metric),10.262436,,,1976-01-01 00:00:00,61.687074,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,9071,,Production of graphite,652,9071,,Production,graphite,,,Norway,,A,NO,Graphite,Normal value
80.793549,7.020493,LKA,Graphite,tonnes (metric),80.793549,,,1976-01-01 00:00:00,7.020493,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,8135,,Production of graphite,652,8135,,Production,graphite,,,Sri Lanka,,A,LK,Graphite,Normal value
96.111983,21.798486,MMR,Graphite,tonnes (metric),96.111983,,,1976-01-01 00:00:00,21.798486,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,161,,Production of graphite,652,161,c,Production,graphite,,Years ended 31 March following that stated.,Myanmar,,A,MM,Graphite,Normal value
