mineral,stage,hs_code_queried,hs_description,period,reporterCode,reporterISO,reporterDesc,partnerCode,partnerISO,partnerDesc,flowCode,flowDesc,cmdCode,cmdDesc,primaryValue,netWgt,grossWgt,qty,qtyUnitAbbr,cifvalue,fobvalue
nickel,primary,260400,Nickel ores and concentrates,2023,826,GBR,United Kingdom,156,CHN,China,X,Export,260400,Nickel ores and concentrates,1883.066,5.0,0.0,5.0,kg,,1883.066
nickel,primary,260400,Nickel ores and concentrates,2023,826,GBR,United Kingdom,208,DNK,Denmark,X,Export,260400,Nickel ores and concentrates,13999.323,843.0,0.0,843.0,kg,,13999.323
nickel,primary,260400,Nickel ores and concentrates,2023,826,GBR,United Kingdom,372,IRL,Ireland,X,Export,260400,Nickel ores and concentrates,12251.738,23.0,0.0,23.0,kg,,12251.738
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,0,W00,World,X,Export,260400,Nickel ores and concentrates,20216346.75,33761978.3,0.0,32956978.3,kg,,20216346.75
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,76,BRA,Brazil,X,Export,260400,Nickel ores and concentrates,10.14,2.2,0.0,2.2,kg,,10.14
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,124,CAN,Canada,X,Export,260400,Nickel ores and concentrates,2.47,0.5,0.0,0.5,kg,,2.47
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,156,CHN,China,X,Export,260400,Nickel ores and concentrates,20190167.58,33646058.0,0.0,32841058.0,kg,,20190167.58
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,276,DEU,Germany,X,Export,260400,Nickel ores and concentrates,4.0,1.3,0.0,1.3,kg,,4.0
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,410,KOR,Rep. of Korea,X,Export,260400,Nickel ores and concentrates,9784.63,88499.6,0.0,88499.6,kg,,9784.63
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,504,MAR,Morocco,X,Export,260400,Nickel ores and concentrates,100.0,102.1,0.0,102.1,kg,,100.0
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,646,RWA,Rwanda,X,Export,260400,Nickel ores and concentrates,5.01,5.2,0.0,5.2,kg,,5.01
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,699,IND,India,X,Export,260400,Nickel ores and concentrates,1.01,10.5,0.0,10.5,kg,,1.01
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,710,ZAF,South Africa,X,Export,260400,Nickel ores and concentrates,5.0,3.9,0.0,3.9,kg,,5.0
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,757,CHE,Switzerland,X,Export,260400,Nickel ores and concentrates,16200.0,27000.0,0.0,27000.0,kg,,16200.0
nickel,primary,260400,Nickel ores and concentrates,2023,834,TZA,United Rep. of Tanzania,826,GBR,United Kingdom,X,Export,260400,Nickel ores and concentrates,6.02,2.0,0.0,2.0,kg,,6.02
