x,y,bgs_statistic_type_trans,bgs_commodity_trans,data_precision_description,concat_figure_notes_text,country_trans,bgs_sub_commodity_trans,sdmx_code,country_iso2_code,erml_group,sdmx_translation,country_iso3_code,erml_commodity,units,pole_of_inaccessibility_longitude,erml_sub_commodity,concat_table_notes_code,year,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity,concat_table_notes_text,yearbook_table_trans,bgs_commodity_code,quantity_in_book_style,concat_figure_notes_code
10.262436,61.687073999999996,Production,ferro-alloys,,,Norway,Ferro-manganese,A,NO,,Normal value,NOR,,tonnes (metric),10.262436,,,1971-01-01 00:00:00,61.687074,,74,227171,,Production of ferro-alloys,863,227171,
20.335869,47.155288,Production,ferro-alloys,,,Hungary,Ferro-silicon,A,HU,,Normal value,HUN,,tonnes (metric),20.335869,,,1971-01-01 00:00:00,47.155288,,74,7042,,Production of ferro-alloys,872,7042,
79.282538,22.642556,Production,ferro-alloys,,,India,Ferro-manganese,A,IN,,Normal value,IND,,tonnes (metric),79.282538,,,1971-01-01 00:00:00,22.642556,,74,162342,,Production of ferro-alloys,863,162342,
20.335869,47.155288,Production,ferro-alloys,,,Hungary,Ferro-manganese,A,HU,,Normal value,HUN,,tonnes (metric),20.335869,,,1971-01-01 00:00:00,47.155288,,74,7431,,Production of ferro-alloys,863,7431,
-97.834383,39.139831,Production,ferro-alloys,,,USA,Pig iron,A,US,,Normal value,USA,,tonnes (metric),-97.834383,,,1971-01-01 00:00:00,39.139831,,74,155834,,Production of ferro-alloys,690,155834,
-97.834383,39.139831,Production,ferro-alloys,,,USA,Ferro-silicon,A,US,,Normal value,USA,,tonnes (metric),-97.834383,,,1971-01-01 00:00:00,39.139831,,74,623387,,Production of ferro-alloys,872,623387,
-70.500342,18.899231999999998,Production,ferro-alloys,,Nickel content.,Dominican Republic,Ferro-nickel,A,DO,,Normal value,DOM,,tonnes (metric),-70.500342,,,1971-01-01 00:00:00,18.899232,,74,399,,Production of ferro-alloys,865,399,y
22.009674999999998,39.740648,Production,ferro-alloys,,Nickel content.,Greece,Ferro-nickel,A,GR,,Normal value,GRC,,tonnes (metric),22.009675,,,1971-01-01 00:00:00,39.740648,,74,10573,,Production of ferro-alloys,865,10573,y
-97.834383,39.139831,Production,ferro-alloys,,,USA,Ferro-niobium,A,US,,Normal value,USA,,tonnes (metric),-97.834383,,,1971-01-01 00:00:00,39.139831,,74,753,,Production of ferro-alloys,866,753,
-97.834383,39.139831,Production,ferro-alloys,,,USA,Ferro-phosphorus,A,US,,Normal value,USA,,tonnes (metric),-97.834383,,,1971-01-01 00:00:00,39.139831,,74,91946,,Production of ferro-alloys,868,91946,
-49.028009999999995,-12.408957,Production,ferro-alloys,,,Brazil,Ferro-chrome,A,BR,,Normal value,BRA,,tonnes (metric),-49.028010,,,1971-01-01 00:00:00,-12.408957,,74,10436,,Production of ferro-alloys,861,10436,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-phosphorus,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,865,,Production of ferro-alloys,868,865,
-64.247496,-31.841561,Production,ferro-alloys,,,Argentina,Ferro-silicon,A,AR,,Normal value,ARG,,tonnes (metric),-64.247496,,,1971-01-01 00:00:00,-31.841561,,74,10790,,Production of ferro-alloys,872,10790,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-molybdenum,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,795,,Production of ferro-alloys,864,795,
-49.028009999999995,-12.408957,Production,ferro-alloys,,,Brazil,Ferro-nickel,A,BR,,Normal value,BRA,,tonnes (metric),-49.028010,,,1971-01-01 00:00:00,-12.408957,,74,10512,,Production of ferro-alloys,865,10512,
-64.247496,-31.841561,Production,ferro-alloys,,,Argentina,Other ferro-alloys,A,AR,,Normal value,ARG,,tonnes (metric),-64.247496,,,1971-01-01 00:00:00,-31.841561,,74,3373,,Production of ferro-alloys,877,3373,
142.796275,43.46076,Production,ferro-alloys,,,Japan,Ferro-chrome,A,JP,,Normal value,JPN,,tonnes (metric),142.796275,,,1971-01-01 00:00:00,43.460760,,74,403000,,Production of ferro-alloys,861,403000,
-49.028009999999995,-12.408957,Production,ferro-alloys,,,Brazil,Ferro-manganese,A,BR,,Normal value,BRA,,tonnes (metric),-49.028010,,,1971-01-01 00:00:00,-12.408957,,74,72038,,Production of ferro-alloys,863,72038,
-97.834383,39.139831,Production,ferro-alloys,,,USA,Ferro-titanium,A,US,,Normal value,USA,,tonnes (metric),-97.834383,,,1971-01-01 00:00:00,39.139831,,74,3052,,Production of ferro-alloys,1993,3052,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-manganese,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,23858,,Production of ferro-alloys,863,23858,
-49.028009999999995,-12.408957,Production,ferro-alloys,,,Brazil,Ferro-niobium,A,BR,,Normal value,BRA,,tonnes (metric),-49.028010,,,1971-01-01 00:00:00,-12.408957,,74,1196,,Production of ferro-alloys,866,1196,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-chrome,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,36292,,Production of ferro-alloys,861,36292,
10.612941,45.366552,Production,ferro-alloys,,10-12% Si.,Italy,Silicon pig iron,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,1864,,Production of ferro-alloys,2016,1864,u
10.612941,45.366552,Production,ferro-alloys,,,Italy,Calcium silicide,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1971-01-01 00:00:00,45.366552,,74,5566,,Production of ferro-alloys,858,5566,
-64.247496,-31.841561,Production,ferro-alloys,,,Argentina,Ferro-manganese,A,AR,,Normal value,ARG,,tonnes (metric),-64.247496,,,1971-01-01 00:00:00,-31.841561,,74,8739,,Production of ferro-alloys,863,8739,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-phosphorus,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1972-01-01 00:00:00,45.366552,,74,606,,Production of ferro-alloys,868,606,
-64.247496,-31.841561,Production,ferro-alloys,,,Argentina,Other ferro-alloys,A,AR,,Normal value,ARG,,tonnes (metric),-64.247496,,,1972-01-01 00:00:00,-31.841561,,74,3346,,Production of ferro-alloys,877,3346,
-49.028009999999995,-12.408957,Production,ferro-alloys,,,Brazil,Ferro-chrome,A,BR,,Normal value,BRA,,tonnes (metric),-49.028010,,,1972-01-01 00:00:00,-12.408957,,74,11656,,Production of ferro-alloys,861,11656,
-49.028009999999995,-12.408957,Production,ferro-alloys,,,Brazil,Ferro-nickel,A,BR,,Normal value,BRA,,tonnes (metric),-49.028010,,,1972-01-01 00:00:00,-12.408957,,74,10813,,Production of ferro-alloys,865,10813,
-97.834383,39.139831,Production,ferro-alloys,,,USA,Ferro-titanium,A,US,,Normal value,USA,,tonnes (metric),-97.834383,,,1972-01-01 00:00:00,39.139831,,74,3311,,Production of ferro-alloys,1993,3311,
-64.247496,-31.841561,Production,ferro-alloys,,,Argentina,Ferro-silicon,A,AR,,Normal value,ARG,,tonnes (metric),-64.247496,,,1972-01-01 00:00:00,-31.841561,,74,15548,,Production of ferro-alloys,872,15548,
-49.028009999999995,-12.408957,Production,ferro-alloys,,,Brazil,Ferro-niobium,A,BR,,Normal value,BRA,,tonnes (metric),-49.028010,,,1972-01-01 00:00:00,-12.408957,,74,2782,,Production of ferro-alloys,866,2782,
142.796275,43.46076,Production,ferro-alloys,,,Japan,Ferro-chrome,A,JP,,Normal value,JPN,,tonnes (metric),142.796275,,,1972-01-01 00:00:00,43.460760,,74,303000,,Production of ferro-alloys,861,303000,
10.612941,45.366552,Production,ferro-alloys,,10-12% Si.,Italy,Silicon pig iron,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1972-01-01 00:00:00,45.366552,,74,2162,,Production of ferro-alloys,2016,2162,u
-64.247496,-31.841561,Production,ferro-alloys,,,Argentina,Ferro-manganese,A,AR,,Normal value,ARG,,tonnes (metric),-64.247496,,,1972-01-01 00:00:00,-31.841561,,74,16353,,Production of ferro-alloys,863,16353,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-molybdenum,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1972-01-01 00:00:00,45.366552,,74,1563,,Production of ferro-alloys,864,1563,
-49.028009999999995,-12.408957,Production,ferro-alloys,,,Brazil,Ferro-manganese,A,BR,,Normal value,BRA,,tonnes (metric),-49.028010,,,1972-01-01 00:00:00,-12.408957,,74,73334,,Production of ferro-alloys,863,73334,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-manganese,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1972-01-01 00:00:00,45.366552,,74,58007,,Production of ferro-alloys,863,58007,
10.612941,45.366552,Production,ferro-alloys,,,Italy,Ferro-chrome,A,IT,,Normal value,ITA,,tonnes (metric),10.612941,,,1972-01-01 00:00:00,45.366552,,74,41593,,Production of ferro-alloys,861,41593,
